turn_id,program,speaker,is_moderator,timestamp,timestamp_seconds,text,text_clean,word_count
0,MPP1,Moderator,True,13:34,814,"So I'm [NAME], and this is [NAME], and we work in the academic dean's office. And on the ask of [NAME] [NAME], we are convening focus groups, and you are the first one that we're doing, so you will be our training ground and we'll approve afterward, but we'll be good on this one. So we're doing this sort of to really make sure we collect student input on things that the school leadership wants to know in a way that, you know, brings out the qualitative. So that's why we're here. And I really, really appreciate you saying yes to the invite. So it really does mean a lot to have these voices in the room. And we did, it was a random assignment selection, so we weren't going only for the volunteers. we're going through everybody who would be able to come, you know, just filling the seats. So appreciate your time. So thank you. First up, we're going to record the audio of this session to support our analysis. Your inputs will be anonymized. There won't be any attributions made as to who said what, but we're doing that so we can kind of focus on getting all the comments that we can without having to describe them. Lori's also going to be taking some written notes and she'll be helping do with some exercises that we might try to do on the whiteboard. The goal today is to hear your honest perspectives, a few ground rules that help the conversations work. We expect you to be able to stay for the full hour, but we will then end on time. There are no wrong answers and we want your real ideas and reactions. Speak from your own experience when you can. It's okay to disagree and disagreement could be useful and productive. Please let each other finish before jumping in. What's said here should stay here. We ask you not share others' comments outside this room. Any questions before we start? Great. So let's begin. Let's go around the table. I'm sure that many of you know each other for your all in MPP1s and maybe in a lot of core courses, but just for the heck of it, could we start and just have you say your first name and your hometown?","So I'm , and this is , and we work in the academic dean's office. And on the ask of , we are convening focus groups, and you are the first one that we're doing, so you will be our training ground and we'll approve afterward, but we'll be good on this one. So we're doing this sort of to really make sure we collect student input on things that the school leadership wants to know in a way that, you know, brings out the qualitative. So that's why we're here. And I really, really appreciate you saying yes to the invite. So it really does mean a lot to have these voices in the room. And we did, it was a random assignment selection, so we weren't going only for the volunteers. we're going through everybody who would be able to come, you know, just filling the seats. So appreciate your time. So thank you. First up, we're going to record the audio of this session to support our analysis. Your inputs will be anonymized. There won't be any attributions made as to who said what, but we're doing that so we can kind of focus on getting all the comments that we can without having to describe them. Lori's also going to be taking some written notes and she'll be helping do with some exercises that we might try to do on the whiteboard. The goal today is to hear your honest perspectives, a few ground rules that help the conversations work. We expect you to be able to stay for the full hour, but we will then end on time. There are no wrong answers and we want your real ideas and reactions. Speak from your own experience when you can. It's okay to disagree and disagreement could be useful and productive. Please let each other finish before jumping in. What's said here should stay here. We ask you not share others' comments outside this room. Any questions before we start? Great. So let's begin. Let's go around the table. I'm sure that many of you know each other for your all in MPP1s and maybe in a lot of core courses, but just for the heck of it, could we start and just have you say your first name and your hometown?",386
1,MPP1,Speaker 6,False,15:40,940,"#NAME? I'm [NAME], I'm from [NAME] and southern [NAME].","I'm , I'm from and southern .",7
2,MPP1,Speaker 5,False,15:44,944,"My name's [NAME], I'm from [NAME], [NAME]. I'm [NAME], I'm from [NAME], [NAME] [NAME].","My name's , I'm from , . I'm , I'm from , .",13
3,MPP1,Speaker 7,False,15:50,950,"[NAME], I'm from [NAME] in [NAME]. I'm [NAME], I'm from [NAME], [NAME].",", I'm from in . I'm , I'm from , .",11
4,MPP1,Speaker 9,False,15:55,955,"I'm [NAME], I'm from [NAME] [NAME]. I'm [NAME], I'm from [NAME].","I'm , I'm from . I'm , I'm from .",10
5,MPP1,Speaker 4,False,16:00,960,"I'm [NAME]-Yol, I'm from [NAME].","I'm -Yol, I'm from .",5
6,MPP1,Moderator,True,16:03,963,"And I'm [NAME], and I have to call [NAME], I think my hometown, I've been here that long. And [NAME], where's your hometown? I'm from [NAME] [NAME], [NAME]. Okay, great. So, now think about, hi, welcome. [NAME] about your time this year in HKS classrooms, and not a specific moment, but overall. We're at the beginning of spring semester, so you have at least fall under your belt. and a couple of words or short phrase, how would you describe the classroom culture here in terms of rigor and professionalism? And just a quick gut reaction and a word or two, a couple words or a short phrase. And Lori's going to actually scribe these on the board. So maybe if you want to come sit here, that would be great, just because we'll leave that in case we get our 10th person. So [NAME] will scribe them. Why don't we, we will not start with you, [NAME], But why don't we start with you and then we'll go this way and come back. Okay, great. So tell us in a few words or a short phrase something that you think describes the classroom culture here in terms of rigor and professionalism.","And I'm , and I have to call , I think my hometown, I've been here that long. And , where's your hometown? I'm from , . Okay, great. So, now think about, hi, welcome. about your time this year in HKS classrooms, and not a specific moment, but overall. We're at the beginning of spring semester, so you have at least fall under your belt. and a couple of words or short phrase, how would you describe the classroom culture here in terms of rigor and professionalism? And just a quick gut reaction and a word or two, a couple words or a short phrase. And Lori's going to actually scribe these on the board. So maybe if you want to come sit here, that would be great, just because we'll leave that in case we get our 10th person. So will scribe them. Why don't we, we will not start with you, , But why don't we start with you and then we'll go this way and come back. Okay, great. So tell us in a few words or a short phrase something that you think describes the classroom culture here in terms of rigor and professionalism.",199
7,MPP1,Speaker 4,False,17:18,1038,Proactive. Okay.,Proactive. Okay.,2
8,MPP1,Speaker 9,False,17:22,1042,Okay. Competitive. And it depends on professor.,Okay. Competitive. And it depends on professor.,7
9,MPP1,Speaker 10,False,17:29,1049,"Oh, okay. I mean, just in classroom?","Oh, okay. I mean, just in classroom?",7
10,MPP1,Moderator,True,17:35,1055,"Yeah. Like in the instructional time during the classrooms, yeah.","Yeah. Like in the instructional time during the classrooms, yeah.",10
11,MPP1,Speaker 2,False,17:44,1064,Too many comments.,Too many comments.,3
12,MPP1,Speaker 10,False,17:48,1068,Sometimes.,Sometimes.,1
13,MPP1,Moderator,True,17:51,1071,"Sort of, too much student voice input?","Sort of, too much student voice input?",7
