turn_id,program,speaker,is_moderator,timestamp,timestamp_seconds,text,text_clean,word_count,umap_x,umap_y,cluster
1,MPP1,Speaker 6,False,15:40,940,"#NAME? I'm [NAME], I'm from [NAME] and southern [NAME].","I'm , I'm from and southern .",7,15.47532,1.0757866,3
2,MPP1,Speaker 5,False,15:44,944,"My name's [NAME], I'm from [NAME], [NAME]. I'm [NAME], I'm from [NAME], [NAME] [NAME].","My name's , I'm from , . I'm , I'm from , .",13,15.608322,1.118785,3
3,MPP1,Speaker 7,False,15:50,950,"[NAME], I'm from [NAME] in [NAME]. I'm [NAME], I'm from [NAME], [NAME].",", I'm from in . I'm , I'm from , .",11,15.524517,1.0674282,3
4,MPP1,Speaker 9,False,15:55,955,"I'm [NAME], I'm from [NAME] [NAME]. I'm [NAME], I'm from [NAME].","I'm , I'm from . I'm , I'm from .",10,15.40475,1.0846316,3
5,MPP1,Speaker 4,False,16:00,960,"I'm [NAME]-Yol, I'm from [NAME].","I'm -Yol, I'm from .",5,15.48651,1.0644966,3
8,MPP1,Speaker 9,False,17:22,1042,Okay. Competitive. And it depends on professor.,Okay. Competitive. And it depends on professor.,7,21.480976,1.7093626,2
9,MPP1,Speaker 10,False,17:29,1049,"Oh, okay. I mean, just in classroom?","Oh, okay. I mean, just in classroom?",7,20.60731,0.83643097,2
14,MPP1,Speaker 10,False,17:53,1073,"Yeah, too much student voice. you know, they take, you know, participation and some students just say, you know, too many things that's not so relevant to the class.","Yeah, too much student voice. you know, they take, you know, participation and some students just say, you know, too many things that's not so relevant to the class.",29,20.213032,0.9193065,13
15,MPP1,Speaker 11,False,18:04,1084,"Okay, great. [NAME]? Moderately demanding.","Okay, great. ? Moderately demanding.",5,20.330074,2.472678,-1
17,MPP1,Speaker 7,False,18:17,1097,"I would say it depends on the kind of course, but to some extent, at least in the core, it gives a bit like the vibes of high school. I would say. I mean, so I mean, maybe also because I was so far educated in a different system, but it's more of like being in a high school class sometimes than an academic class.","I would say it depends on the kind of course, but to some extent, at least in the core, it gives a bit like the vibes of high school. I would say. I mean, so I mean, maybe also because I was so far educated in a different system, but it's more of like being in a high school class sometimes than an academic class.",65,20.826544,2.6441486,12
19,MPP1,Speaker 7,False,18:44,1124,"For example, I mean, grading participation.","For example, I mean, grading participation.",6,20.123827,1.7670857,-1
21,MPP1,Speaker 8,False,18:52,1132,[NAME]? I'd say like accommodating to the point of low expectations. [NAME]. [NAME] right.,? I'd say like accommodating to the point of low expectations. . right.,13,21.580761,1.5552517,-1
23,MPP1,Speaker 5,False,19:27,1167,"Mine was kind of the opposite of that. I was going to say intense. Okay. And also, like, variable, because I think it does depend on the class.","Mine was kind of the opposite of that. I was going to say intense. Okay. And also, like, variable, because I think it does depend on the class.",28,19.642935,2.5619595,-1
25,MPP1,Speaker 6,False,19:39,1179,"I would say not much pushback. So I think one of the things with participation is I noticed that there's not much disagreement with what students are saying, even if something might be factually incorrect or questionable.","I would say not much pushback. So I think one of the things with participation is I noticed that there's not much disagreement with what students are saying, even if something might be factually incorrect or questionable.",37,20.008747,1.1625904,13
27,MPP1,Speaker 6,False,19:59,1199,"Instructor pushback, maybe. People aren't being challenged in the sense of their ideas being challenged.","Instructor pushback, maybe. People aren't being challenged in the sense of their ideas being challenged.",15,20.447102,1.465347,-1
29,MPP1,Speaker 12,False,20:07,1207,"I think I roughly agree with what was saying. I think when it comes to professionalism, I think SEND is pretty high. Very high, I would say, in a positive way. When it comes to rigor, I would say it's extremely underwhelming. I think I echo [NAME] and [NAME]'s point in terms of almost each of my classes I find even, and there is a variation, but overall I find rigor to be pretty low.","I think I roughly agree with what was saying. I think when it comes to professionalism, I think SEND is pretty high. Very high, I would say, in a positive way. When it comes to rigor, I would say it's extremely underwhelming. I think I echo and 's point in terms of almost each of my classes I find even, and there is a variation, but overall I find rigor to be pretty low.",74,20.62685,2.6249418,12
31,MPP1,Speaker 11,False,21:52,1312,"I think a couple of things. First, addressing people by their names. That I think is just a high bar for definition a lot of times, at least in my personal work experience, like my professional experience in the past. In intense environments, people are bound not to call you by your name.","I think a couple of things. First, addressing people by their names. That I think is just a high bar for definition a lot of times, at least in my personal work experience, like my professional experience in the past. In intense environments, people are bound not to call you by your name.",53,19.762749,0.0746094,1
33,MPP1,Speaker 11,False,22:16,1336,"No, so I think my professional experience was that in an intense environment, you are it's fine to not call people by the names whereas at HKS people are very proactive and professors are very proactive in trying to call you by your name and address you by a correct name because we have an international diaspora of students professors may not be able to speak or pronounce name correctly they try and there's an endeavor behind it so i think that is um that Yeah, but I think that's why.","No, so I think my professional experience was that in an intense environment, you are it's fine to not call people by the names whereas at HKS people are very proactive and professors are very proactive in trying to call you by your name and address you by a correct name because we have an international diaspora of students professors may not be able to speak or pronounce name correctly they try and there's an endeavor behind it so i think that is um that Yeah, but I think that's why.",91,19.581306,0.39664888,6
